101883	Porites_astreoides_6374	100.000	91	0	0	1	91	249	159	9.78e-42	169
20209	Porites_lobata_22431	100.000	39	0	0	96	134	1147	1109	7.79e-13	73.1
20767	Porites_lobata_13355	92.308	91	7	0	1	91	232	322	4.67e-30	130
34154	Porites_australiensis_7577	100.000	39	0	0	1	39	1582	1544	7.98e-13	73.1
36065	Porites_lobata_19163	96.000	75	3	0	1	75	155	229	7.72e-28	122
39984	Porites_australiensis_12351	96.667	90	3	0	1	90	1493	1404	3.59e-36	150
42305	Porites_lobata_19426	100.000	91	0	0	1	91	376	286	9.65e-42	169
44493	Porites_australiensis_49811	100.000	28	0	0	116	143	85	112	1.04e-06	52.8
49813	Porites_astreoides_5043	100.000	91	0	0	1	91	257	167	9.78e-42	169
51089	Porites_lobata_18856	98.214	56	1	0	132	187	565	510	1.33e-20	99.0
51711	Porites_australiensis_20266	98.901	91	1	0	1	91	599	689	4.58e-40	163
66685	Porites_astreoides_5347	100.000	61	0	0	31	91	1329	1269	4.70e-25	113
82175	Porites_lobata_416	100.000	87	0	0	98	184	1585	1499	1.65e-39	161
97262	Porites_australiensis_12694	97.802	91	2	0	1	91	520	430	2.09e-38	158
